"Row.names" "lmpred" "V2.x" "rfpred" "V2.y"
"1" "2020-03-06" NA NA -0.0268825493936288 -1
"2" "2020-03-07" NA NA -0.0278805781108629 -1
"3" "2020-03-08" NA NA -0.00183053641332189 0
"4" "2020-03-09" -0.0509931497226792 -1 -0.0283031460736749 -1
"5" "2020-03-10" -0.0328784781680563 -1 0.0122414877708155 1
"6" "2020-03-11" -0.0405450249749059 -1 0.00842451570323714 1
"7" "2020-03-12" 0.0171428833505334 1 -0.00208116240585903 0
"8" "2020-03-13" -0.0375349142068867 -1 -0.0536681161524427 -1
"9" "2020-03-14" -0.035539923288633 -1 -0.0232155459686666 -1
"10" "2020-03-15" -0.0186442818088002 -1 0.0291941544289268 1
"11" "2020-03-16" -0.0378812724635559 -1 -0.0287548490978094 -1
"12" "2020-03-17" -0.0147110288782169 -1 -0.032268067721015 -1
"13" "2020-03-18" -0.0637137928689484 -1 -0.0438687276361025 -1
"14" "2020-03-19" 0.0418803996875725 1 0.0752298926658531 1
"15" "2020-03-20" 0.0117200815091342 1 0.0260575608916286 1
"16" "2020-03-21" -0.0287544494543768 -1 -0.0591052015332636 -1
"17" "2020-03-22" 0.0696190224499116 1 -0.0437474292614933 -1
"18" "2020-03-23" 0.0854456478580046 1 0.0409808629292371 1
"19" "2020-03-24" -0.000380308748271121 0 0.0224341417945663 1
"20" "2020-03-25" -0.0128584095012107 -1 0.01782172199974 1
"21" "2020-03-26" -0.0152886810476835 -1 -0.036356120858016 -1
"22" "2020-03-27" -0.0346814792656691 -1 0.0143522817521204 1
"23" "2020-03-28" -0.00744306321888713 -1 -0.0204892410630001 -1
"24" "2020-03-29" -0.0892299719591962 -1 0.0229749845260633 1
"25" "2020-03-30" -0.00846139750895078 -1 -0.0293514784129374 -1
"26" "2020-03-31" 0.0452772599866764 1 0.0271332694817712 1
"27" "2020-04-01" NA NA -0.0322700823380374 -1
"28" "2020-04-02" NA NA -0.0440935522799689 -1
"29" "2020-04-03" NA NA 0.0342550962546391 1
"30" "2020-04-04" -0.0464557555021787 -1 0.00581699462243375 1
"31" "2020-04-05" -0.0784948457463952 -1 0.0165157478004935 1
"32" "2020-04-06" 0.0468112034694342 1 -0.0221835837133686 -1
"33" "2020-04-07" 0.0702121098113745 1 0.0204381857495429 1
"34" "2020-04-08" -0.0384288140835976 -1 -0.0294865707682364 -1
"35" "2020-04-09" 0.0465890707874353 1 0.0272740011871495 1
"36" "2020-04-10" 0.0294346839362036 1 0.0144920698835814 1
"37" "2020-04-11" 0.0794621318422706 1 -0.0348631099778196 -1
"38" "2020-04-12" 0.105759772667658 1 0.0115212548918342 1
"39" "2020-04-13" 0.0560429725253116 1 0.0159314385939978 1
"40" "2020-04-14" -0.0406041464154759 -1 0.0109448322820695 1
"41" "2020-04-15" 0.0621439116305713 1 0.00775356304531194 1
"42" "2020-04-16" 0.073236196942824 1 -0.0242470863564331 -1
"43" "2020-04-17" -0.032346173097486 -1 0.00709468649761973 1
"44" "2020-04-18" -0.00594582966653631 -1 -0.00526163179722293 -1
"45" "2020-04-19" 0.0429760805161125 1 0.0125568351419625 1
"46" "2020-04-20" 0.018318338165264 1 0.00510675629374217 1
"47" "2020-04-21" -0.0834691864370818 -1 -0.010063690442307 -1
"48" "2020-04-22" 0.0176584963492502 1 -0.00754065033109218 -1
"49" "2020-04-23" -0.0569134915827628 -1 -0.0180678100168122 -1
"50" "2020-04-24" -0.0174361724798061 -1 0.0186410709564675 1
"51" "2020-04-25" -0.0151101209149827 -1 0.00176913585309558 0
